
aerodrome,Аэропорт
spur,Ответвление ж.д. пути
station,Железнодорожная станция
subway,Станция метро
subway_entrance,Вход в метро
switch,Железнодорожная стрелка
tram,Трамвай
tram_stop,Трамвайная остановка
yard,Депо
alcohol,Винный магазин
apparel,Магазин одежды
art,Художественный салон
bakery,Булочная
beauty,Салон красоты
beverages,Магазин напитков
bicycle,Веломагазин
books,Книжный магазин
butcher,Мясная лавка
car,Автомагазин
car_dealer,Автосалон
car_parts,Автозапчасти
car_repair,Автомастерская
carpet,Ковры
charity,Секонд-хэнд
chemist,магазин бытовой химии
clothes,Магазин одежды
computer,Компьютерный магазин
confectionery,Кондитерская
convenience,Ларёк
copyshop,Услуги копирования
cosmetics,Косметика
department_store,Универсам
discount,Магазин распродаж
doityourself,Сделай-Сам
drugstore,Аптека
dry_cleaning,Химчистка
electronics,Магазин электротоваров
estate_agent,Риелтор
farm,Фермерский магазин
fashion,Магазин модной одежды
fish,Рыбный магазин
florist,Цветочный магазин
food,Продуктовый магазин
funeral_directors,Похоронное бюро
furniture,Мебельный магазин
gallery,Галерея
garden_centre,Садоводческий магазин
general,Магазин
gift,Магазин подарков
greengrocer,Овощной магазин
grocery,Бакалейный магазин
hairdresser,Парикмахерская
hardware,Хозяйственный магазин
hifi,Магазин аудио/видео аппаратуры
insurance,Страховая компания
jewelry,Ювелирный магазин
kiosk,Киоск
laundry,Прачечная
mall,Молл
market,Рынок
mobile_phone,Магазин мобильных телефонов
motorcycle,Магазин по продаже мотоциклов
music,Музыкальный магазин
newsagent,Газетный киоск
optician,Магазин оптики
organic,Магазин экологических продуктов
outdoor,Место уличной торговли
pet,Зоомагазин
photo,Фотомагазин
salon,Салон
shoes,Обувной магазин
shopping_centre,Торговый центр
sports,Спортивный магазин
stationery,Магазин канцелярских товаров
supermarket,Супермаркет
toys,Магазин игрушек
travel_agency,Туристической агентство
video,Магазин видеозаписей
wine,Винный магазин
alpine_hut,Горный приют
artwork,Произведения искусства
attraction,Достопримечательность
bed_and_breakfast,Полупансион
cabin,Кабинка
camp_site,Лагерь
caravan_site,Караван-сарай
chalet,Шале
guest_house,Домик для гостей
hostel,Хостел
hotel,Гостиница
information,Информация
lean_to,Навес
motel,Мотель
museum,Музей
picnic_site,Место для пикника
theme_park,Аттракционы
valley,Долина
viewpoint,Смотровая площадка
zoo,Зоопарк
boatyard,Верфь
canal,Канал
connector,Слияние рек
dam,Дамба
derelict_canal,Пересохший канал
ditch,Водоотлив
dock,Док
drain,Сточная канава
lock,Шлюз
lock_gate,Шлюз
mineral_spring,Минеральный родник
mooring,Место швартовки
rapids,Речной порог
river,Река
riverbank,Берег реки
stream,Ручей
wadi,Высохшее русло
water_point,Пункт водоснабжения
waterfall,Водопад
weir,Плотина
