
aerodrome,Аеропорт
theme_park,Тематичний парк
valley,Долина
viewpoint,Оглядовий майданчик
zoo,Зоопарк
boatyard,Верф
canal,Канал
connector,З’єднання водних шляхів
dam,Дамба
derelict_canal,Покинутий канал
ditch,Рів
dock,Док
drain,Дренажний канал
lock,Шлюз
lock_gate,Шлюзові ворота
mineral_spring,Мінеральне джерело
mooring,Якірна стоянка
rapids,Пороги
river,Ріка
riverbank,Берег ріки
stream,Струмок
wadi,Пересохле русло
water_point,Пункт водопостачання
waterfall,Водоспад
weir,Ставок
