
aerodrome,Аеродром
trail,Патека
trunk,Магистрала
trunk_link,Магистрала
unclassified,Некласификуван пат
unsurfaced,Неасфалтиран пат
archaeological_site,Археолошки локалитет
battlefield,Бојно поле
boundary_stone,Граничен камен
building,Зграда
castle,Замок
church,Црква
house,Куќа
icon,Икона
manor,Велепоседнички дом
memorial,Споменик
mine,Рудник
monument,Споменик
museum,Музеј
ruins,Рушевини
tower,Кула
wayside_cross,Крајпатен крст
wayside_shrine,Параклис
wreck,Бродолом
allotments,Парцели
basin,Басен
brownfield,Угар
cemetery,Гробишта
commercial,Комерцијално подрачје
conservation,Заштитено земјиште
construction,Градилиште
farm,Фарма
farmland,Обработливо земјиште
farmyard,Земјоделски двор
forest,Шума
grass,Трева
greenfield,Неискористено земјиште
industrial,Индустриско подрачје
landfill,Депонија
meadow,Ливада
military,Воено подрачје
mine,Рудник
mountain,Планина
nature_reserve,Природен резерват
park,Парк
piste,Писта
plaza,Плоштадче
quarry,Каменолом
railway,Железница
recreation_ground,Рекреативен терен
reservoir,Резервоар
residential,Станбено подрачје
retail,Дуќани
village_green,Селско зеленило
vineyard,Лозници
wetland,Мочуриште
wood,Шума
beach_resort,Крајбрежно одморалиште
common,Општествена земја
fishing,Рибарење
garden,Градина
golf_course,Голф-терен
ice_rink,Лизгалиште
marina,Марина
miniature_golf,Миниголф
nature_reserve,Природен резерват
park,Парк
pitch,Спортски терен
playground,Детско игралиште
recreation_ground,Разонодно место
slipway,Испуст
sports_centre,Спортски центар
stadium,Стадион
swimming_pool,Базен
track,Спортска патека
water_park,Аквапарк
bay,Залив
beach,Плажа
cape,‘Рт
cave_entrance,Влез во пештера
channel,Канал
cliff,Гребен
coastline,Крајбрежје
crater,Кратер
feature,Елемент
fell,Фел
fjord,Фјорд
geyser,Гејзер
glacier,Глечер
heath,Голет
hill,Рид
island,Остров
land,Земја
marsh,Бара
moor,Пустара
mud,Кал
peak,Врв
point,Точка
reef,Гребен
ridge,Срт
river,Река
rock,Карпа
scree,Сип
scrub,Честак
shoal,Плитко место
spring,Извор
strait,Проток
tree,Дрво
valley,Долина
volcano,Вулкан
water,Вода
wetland,Мочуриште
wetlands,Мочуриште
wood,Шума
city,Град
country,Земја
county,Грофовија
farm,Фарма
hamlet,Селце
house,Куќа
houses,Куќи
island,Остров
islet,Островче
locality,Месност
moor,Пустара
municipality,Општина
postcode,Поштенски број
region,Регион
sea,Море
state,Покраина
subdivision,Админ. подрачје
suburb,Населба
town,Град
unincorporated_area,Нездружено подрачје
village,Село
abandoned,Напуштена железничка линија
construction,Железничка линија во изградба
disused,Напуштена железничка линија
disused_station,Напуштена железничка станица
funicular,Жичена железница
halt,Железничка постојка
historic_station,Историска железничка станица
junction,Железнички јазол
level_crossing,Надвозник
light_rail,Лека железница
monorail,Едношинска линија
narrow_gauge,Теснолинејка
platform,Железнички перон
preserved,Зачувана железничка линија
spur,Железнички огранок
station,Железничка станица
subway,Метро станица
subway_entrance,Влез во метро
switch,Железнички пунктови
tram,Трамвајска линија
tram_stop,Трамвајска постојка
yard,Железничко депо
alcohol,Алкохол на црно
apparel,Облека
art,Уметнички дуќан
bakery,Пекара
beauty,Козметика
beverages,Пијалоци
bicycle,Продавница за велосипеди
books,Книжарница
butcher,Месарница
car,Автосалон
car_dealer,Автосалон
car_parts,Автоделови
car_repair,Автосервис
carpet,Дуќан за теписи
charity,Добротворна продавница
chemist,Аптека
clothes,Дуќан за облека
computer,Компјутерска продавница
confectionery,Слаткарница
convenience,Бакалница
copyshop,Фотокопир
cosmetics,Козметика
department_store,Стоковна куќа
discount,Распродажен дуќан
doityourself,Направи-сам
drugstore,Аптека
dry_cleaning,Хемиско чистење
electronics,Електронска опрема
estate_agent,Недвижности
farm,Земјоделски дуќан
fashion,Бутик
fish,Рибарница
florist,Цвеќара
food,Продавница за храна
funeral_directors,Погребална служба
furniture,Мебел
gallery,Галерија
garden_centre,Градинарски центар
general,Колонијал
gift,Дуќан за подароци
greengrocer,Пиљара
grocery,Бакалница
hairdresser,Фризер
hardware,Алат и опрема
hifi,Аудиосистеми
insurance,Осигурително
jewelry,Јувелир
kiosk,Трафика
laundry,Пералница
mall,Трговски центар
market,Пазар
mobile_phone,Мобилни телефони
motorcycle,Моторцикли
music,Музички дуќан
newsagent,Весникара
optician,Оптичар
organic,Здрава храна
outdoor,Дуќан на отворено
pet,Домашни миленици
photo,Фотографски дуќан
salon,Салон
shoes,Обувки
shopping_centre,Трговски центар
sports,Спортски дуќан
stationery,Прибор и репроматеријали
supermarket,Супермаркет
toys,Продавница за играчки
travel_agency,Туристичка агенција
video,Видеотека
wine,Алкохолни пијалоци
alpine_hut,Планинска куќарка
artwork,Уметничко дело
attraction,Атракција
bed_and_breakfast,Полупансион
cabin,Колиба
camp_site,Камп
caravan_site,Автокамп
chalet,Брвнара
guest_house,Пансион
hostel,Хостел
hotel,Хотел
information,Информации
lean_to,Прилепена стреа
motel,Мотел
museum,Музеј
picnic_site,Излетничко место
theme_park,Забавен парк
valley,Долина
viewpoint,Видиковец
zoo,Зоолошка
boatyard,Чамцоградилиште
canal,Канал
connector,Слив
dam,Брана
derelict_canal,Запуштен канал
ditch,Канач
dock,Док
drain,Одвод
lock,Каналска брана
lock_gate,Каналска капија
mineral_spring,Минерален извор
mooring,Сидриште
rapids,Брзак
river,Река
riverbank,Кеј
stream,Поток
wadi,Вади
water_point,Пристап до вода
waterfall,Водопад
weir,Јаз
