
aerodrome,Aéroport
alpine_hut,Refuge
artwork,Œuvre d’art
attraction,Attraction
bed_and_breakfast,Gîte
cabin,Hutte
camp_site,Camping
caravan_site,Site de caravane
chalet,Chalet
guest_house,Maison d'hôte
hostel,Auberge
hotel,Hôtel
information,Informations
lean_to,Stand
motel,Motel
museum,Musée
picnic_site,Site de pique-nique
theme_park,Parc à thème
valley,Vallée
viewpoint,Point de vue
zoo,Zoo
boatyard,Chantier naval
canal,Canal
connector,Connexion hydrographique
dam,Digue
derelict_canal,Canal de délaissement
ditch,Fossé
dock,Dock
drain,Drain
lock,Écluse
lock_gate,Porte d'écluse
mineral_spring,Source d'eau minérale
mooring,Mouillage
rapids,Rapides
river,Rivière
riverbank,Lit de rivière
stream,Ruisseau
wadi,Oued
water_point,Point d'eau
waterfall,Chute d'eau
weir,Barrage
butcher,Charcuterie
